98,5,2.27
98,84,5.08
98,70,8.56
98,62,4.92
98,68,2.32
98,2,3.39
98,89,5.71
2,26,8.89
2,98,1.34
2,42,3.54
2,1,6.86
25,73,0.41
25,50,9.43
25,53,8.63
25,74,2.75
25,76,8.22
25,52,9.53
88,54,4.37
88,87,3.58
88,95,8.35
4,28,8.43
4,67,2.59
4,65,5.34
19,64,3.72
19,81,3.7
19,43,9.18
19,57,6.55
19,83,3.56
94,47,2.22
94,40,9.16
94,49,4.42
94,91,4.87
94,100,5.02
24,48,4.07
24,79,7.97
1,90,0.74
28,63,6.66
80,39,1.35
80,2,5.29
80,77,0.42
31,24,8.09
31,3,9.09
46,51,8.04
46,45,8.21
46,7,1.72
61,17,3.71
85,55,3.8
85,18,3.86
85,85,7.29
85,32,9.22
35,19,2.2
35,66,2.46
35,88,6.03
63,38,3.62
76,56,5.22
76,15,1.68
76,80,3.09
68,20,1.5
92,29,3.7
92,6,6.06
49,4,9.89
49,59,2.6
49,96,8.45
97,41,7.92
82,99,3.62
82,36,3.53
52,72,8.73
43,86,1.53
75,12,5.26
22,35,5.73
65,58,0.12
23,44,2.67
23,9,0.42
23,22,9.68
23,93,4.06
55,94,1.88
55,71,9.52
45,82,5.65
72,10,8.66
81,2,1.68
81,34,4.03
3,2,3.23
95,92,1.29
95,5,7.12
95,30,0.49
95,46,9.85
42,4,2.35
42,21,6.66
10,33,5.1
86,1,5.37
7,27,2.75
7,3,0.96
78,7,2.88
78,31,6.29
78,14,2.38
5,13,4.39
50,6,2.94
15,61,2.67
34,69,8.16
9,16,4.84
69,97,6.7
